Departamento ,Total personas de 5 a침os y m치s,Total Us칩 internet en cualquier lugar
Amazonas,70,22
Antioquia,6274,4500
Arauca,266,162
Atlantico,2521,1921
Bogota DC,7305,6363
Bolivar,1998,1147
Boyaca,1163,734
Caldas,962,679
Caqueta,373,218
Casanare,399,272
Cauca,1388,757
Cesar,1174,775
Choco,489,200
Cordoba,1690,808
Cundinamarca,3059,2239
Guainia,43,13
Guaviare,78,40
Huila,1026,670
La Guajira,864,351
Magdalena,1307,739
Meta,984,757
Nari침o,1505,798
Norte de Santander,1487,1010
Putumayo,330,147
Quindio,526,384
Risaralda,902,702
San Andres,39,30
Santander,2141,1578
Sucre,873,423
Tolima,1259,856
Valle,4227,3384
Vaupes,39,8
Vichada,99,18
